fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,1,1,-4326.689250108345,-8390.11906659199,,,,874.0,103.505
12,1,12,-4315.689250108345,-8379.11906659199,,,,880.0,103.504
13,1,13,-4314.689250108345,-8378.11906659199,,,,880.0,103.499
14,1,14,-4313.689250108345,-8377.11906659199,,,,880.0,103.49
15,1,15,-4312.689250108345,-8376.11906659199,,,,880.0,103.48
16,1,16,-4311.689250108345,-8375.11906659199,,,,880.0,103.47
17,1,17,-4310.689250108345,-8374.11906659199,,,,882.0,103.463
18,1,18,-4309.689250108345,-8373.11906659199,,,,881.0,103.455
19,1,19,-4308.689250108345,-8372.11906659199,,,,880.0,103.446
20,1,20,-4307.689250108345,-8371.11906659199,,,,879.0,103.436
21,1,21,-4306.689250108345,-8370.11906659199,,,,879.0,103.424
22,1,22,-4305.689250108345,-8369.11906659199,,,,879.0,103.414
23,1,23,-4304.689250108345,-8368.11906659199,,,,880.0,103.405
24,1,24,-4303.689250108345,-8367.11906659199,,,,879.0,103.396
25,1,25,-4302.689250108345,-8366.11906659199,,,,880.0,103.386
26,1,26,-4301.689250108345,-8365.11906659199,,,,879.0,103.377
27,1,27,-4300.689250108345,-8364.11906659199,,,,879.0,103.365
28,1,28,-4299.689250108345,-8363.11906659199,,,,881.0,103.355
29,1,29,-4298.689250108345,-8362.11906659199,,,,884.0,103.345
30,1,30,-4297.689250108345,-8361.11906659199,,,,887.0,103.338
31,1,31,-4296.689250108345,-8360.11906659199,,,,889.0,103.331
32,1,32,-4295.689250108345,-8359.11906659199,,,,889.0,103.325
33,1,33,-4294.689250108345,-8358.11906659199,,,,887.0,103.318
34,1,34,-4293.689250108345,-8357.11906659199,,,,884.0,103.311
35,1,35,-4292.689250108345,-8356.11906659199,,,,885.0,103.308
65,1,65,-4262.689250108345,-8326.11906659199,,,,870.0,103.306
66,1,66,-4261.689250108345,-8325.11906659199,,,,870.0,103.294
67,1,67,-4260.689250108345,-8324.11906659199,,,,869.0,103.284
68,1,68,-4259.689250108345,-8323.11906659199,,,,868.0,103.271
69,1,69,-4258.689250108345,-8322.11906659199,,,,869.0,103.261
70,1,70,-4257.689250108345,-8321.11906659199,,,,869.0,103.248
71,1,71,-4256.689250108345,-8320.11906659199,,,,870.0,103.236
72,1,72,-4255.689250108345,-8319.11906659199,,,,873.0,103.226
73,1,73,-4254.689250108345,-8318.11906659199,,,,873.0,103.216
74,1,74,-4253.689250108345,-8317.11906659199,,,,874.0,103.204
75,1,75,-4252.689250108345,-8316.11906659199,,,,874.0,103.193
76,1,76,-4251.689250108345,-8315.11906659199,,,,875.0,103.184
77,1,77,-4250.689250108345,-8314.11906659199,,,,875.0,103.177
78,1,78,-4249.689250108345,-8313.11906659199,,,,873.0,103.171
92,1,92,-4235.689250108345,-8299.11906659199,,,,859.0,103.162
93,1,93,-4234.689250108345,-8298.11906659199,,,,859.0,103.154
94,1,94,-4233.689250108345,-8297.11906659199,,,,857.0,103.146
95,1,95,-4232.689250108345,-8296.11906659199,,,,856.0,103.14
96,1,96,-4231.689250108345,-8295.11906659199,,,,854.0,103.134
97,1,97,-4230.689250108345,-8294.11906659199,,,,853.0,103.128
98,1,98,-4229.689250108345,-8293.11906659199,,,,852.0,103.122
99,1,99,-4228.689250108345,-8292.11906659199,,,,851.0,103.117
100,1,100,-4227.689250108345,-8291.11906659199,,,,850.0,103.112
101,1,101,-4226.689250108345,-8290.11906659199,,,,848.0,103.107
102,1,102,-4225.689250108345,-8289.11906659199,,,,848.0,103.102
103,1,103,-4224.689250108345,-8288.11906659199,,,,846.0,103.098
104,1,104,-4223.689250108345,-8287.11906659199,,,,843.0,103.096
105,1,105,-4222.689250108345,-8286.11906659199,,,,843.0,103.093
106,1,106,-4221.689250108345,-8285.11906659199,,,,841.0,103.088
107,1,107,-4220.689250108345,-8284.11906659199,,,,839.0,103.083
108,1,108,-4219.689250108345,-8283.11906659199,,,,840.0,103.076
109,1,109,-4218.689250108345,-8282.11906659199,,,,841.0,103.069
110,1,110,-4217.689250108345,-8281.11906659199,,,,843.0,103.064
111,1,111,-4216.689250108345,-8280.11906659199,,,,845.0,103.059
112,1,112,-4215.689250108345,-8279.11906659199,,,,847.0,103.056
113,1,113,-4214.689250108345,-8278.11906659199,,,,849.0,103.051
114,1,114,-4213.689250108345,-8277.11906659199,,,,849.0,103.045
115,1,115,-4212.689250108345,-8276.11906659199,,,,848.0,103.043
